1va|1va
##|##
por|por
mal|mal
segnor|segnor
pert|pert
et|et
por|por
guera|guera
##|##
quant|quant
muert|muert
pert|pert
l’|l’
avoir|avoir
et|et
la|la
terra|terra
##|##
lors|lors
lait|lait
il|il
treitot|treitot
et|et
grepit|grepit
##|##
teuz|teuz
le|le
despent|despent
qui|qui
ne|ne
·l|·l
conquist|conquist
##|##
ne|ne
·l|·l
di|di
pas|pas
porce_que|porce_que
doner|doner
##|##
ne|ne
puet|puet
on|on
pas|pas
senz|senz
conquester|conquester
##|##
qui|qui
mout|mout
despent|despent
et|et
poi|poi
amase|amase
##|##
tot|tot
pert|pert
son|son
pris|pris
lai_ont|lai_ont
il|il
laise|laise
##|##
et|et
qui|qui
conquiert|conquiert
et|et
no|no
despent|despent
##|##
il|il
est|est
aïz|aïz
de|de
mainte|mainte
jant|jant
##|##
li|li
uns|uns
senz|senz
l’|l’
autre|autre
n’|n’
a|a
mestier|mestier
##|##
quar|quar
li|li
uns|uns
doit|doit
àl’|àl’
autre|autre
aidier|aidier
##|##
poi|poi
vaut|vaut
conquere|conquere
senz|senz
doner|doner
##|##
et|et
qui|qui
despent|despent
senz|senz
conquester|conquester
##|##
hon|hon
l’|l’
a|a
veü|veü
de|de
mainte|mainte
jant|jant
##|##
qui|qui
d’|d’
auqués|auqués
vienent|vienent
à|à
noient|noient
##|##
bons|bons
princes|princes
doit|doit
toz_jorz|toz_jorz
despandre|despandre
##|##
et|et
conquester|conquester
doner|doner
et|et
prandre|prandre
##|##
quar|quar
largece|largece
est|est
mere|mere
d’|d’
amor|amor
##|##
et|et
de|de
prohece|prohece
et|et
de|de
honor|honor
##|##
ainsi|ainsi
puet|puet
del|del
segle|segle
joïr|joïr
##|##
amor|amor
et|et
henor|henor
maintenir|maintenir
##|##
dont|dont
il|il
ert|ert
del|del
segle|segle
loëz|loëz
##|##
et|et
aprés|aprés
sa|sa
mort|mort
remenbrez|remenbrez
##|##
de|de
ce|ce
me|me
doi|doi
atant|atant
laisier|laisier
##|##
à|à
mon|mon
conte|conte
doi|doi
repairier|repairier
##|##
segnor|segnor
je|je
·l|·l
sai|sai
assez|assez
de_fi|de_fi
##|##
que|que
d’|d’
alixandre|alixandre
avez|avez
hoï|hoï
##|##
mais|mais
ne|ne
savez|savez
encores|encores
pas|pas
##|##
dont|dont
fu|fu
sa|sa
mere|mere
olinpias|olinpias
##|##
je|je
·l|·l
dirai|dirai
qui|qui
l’|l’
ai|ai
en|en
memoire|memoire
##|##
or|or
escustez|escustez
mout|mout
riche|riche
estoire|estoire
##|##
deuz|deuz
rois|rois
des|des
princes|princes
qui|qui
i|i
sont|sont
##|##
li_pluis|li_pluis
est|est
del|del
roi|roi
floremont|floremont
##|##
ce|ce
dist|dist
aymes|aymes
or|or
escoutez|escoutez
##|##
vos|vos
qui|qui
les|les
bons|bons
diz|diz
entendez|entendez
##|##
quar|quar
ci|ci
poront|poront
trover|trover
la|la
flor|flor
##|##
deuz|deuz
contes|contes
li|li
bon|bon
conteör|conteör
