1rb|1rb
##|##
le|le
fait|fait
conte|conte
des|des
ancieins|ancieins
##|##
que|que
tuit|tuit
cil|cil
qui|qui
ont|ont
les|les
cuers|cuers
vains|vains
##|##
aient|aient
de|de
lor|lor
proëce|proëce
envie|envie
##|##
por|por
emender|emender
lor|lor
fause|fause
vie|vie
##|##
##|##
por|por
les|les
ancieins|ancieins
remenbrer|remenbrer
##|##
vos|vos
veil|veil
dire|dire
et|et
reconter|reconter
##|##
si_con|si_con
j’ai|j’ai
en|en
escrit|escrit
trové|trové
##|##
d’une|d’une
estoire|estoire
la|la
verité|verité
##|##
à|à
ceuz|ceuz
qui|qui
firont|firont
les|les
bons|bons
faz|faz
##|##
por|por
coi|coi
li|li
conte|conte
sont|sont
retraiz|retraiz
##|##
devomes|devomes
nos|nos
toz_jorz|toz_jorz
antandre|antandre
##|##
quar|quar
adés|adés
i|i
puet|puet
on|on
aprandre|aprandre
##|##
que|que
cil|cil
mantenoient|mantenoient
honor|honor
##|##
proëce|proëce
et|et
foi|foi
et|et
amor|amor
##|##
à|à
cel|cel
tens|tens
estoit|estoit
amors|amors
vive|vive
##|##
qui|qui
or|or
est|est
morte|morte
et|et
chaitive|chaitive
##|##
de|de
joie|joie
fu|fu
dame|dame
et|et
roïne|roïne
##|##
or|or
est|est
avare|avare
et|et
frarine|frarine
##|##
non|non
avoit|avoit
pas|pas
enjan|enjan
ne|ne
vice|vice
##|##
mais|mais
or|or
se|se
muert|muert
por|por
avarice|avarice
##|##
or|or
ne|ne
veut|veut
pas|pas
amors|amors
noblece|noblece
##|##
mais|mais
celui|celui
veut|veut
qui|qui
a|a
richece|richece
##|##
ou|ou
soit|soit
gentiuz|gentiuz
ou|ou
soit|soit
vilains|vilains
##|##
amors|amors
tent|tent
par|par
toz|toz
leus|leus
se|se
mains|mains
##|##
s’il|s’il
est|est
vilains|vilains
culverz|culverz
provez|provez
##|##
sol_que|sol_que
il|il
ait|ait
d’avoir|d’avoir
asez|asez
##|##
bien|bien
ert|ert
serviz|serviz
et|et
receüz|receüz
##|##
mais|mais
il|il
n’est|n’est
mout|mout
de|de
deceüz|deceüz
##|##
quar|quar
il|il
ne|ne
set|set
ne|ne
il|il
ne|ne
voit|voit
##|##
coment|coment
li|li
avoirs|avoirs
le|le
decoit|decoit
##|##
quant|quant
lo|lo
conquiert|conquiert
n’a|n’a
joie|joie
vaine|vaine
##|##
et|et
quant|quant
lo|lo
pert|pert
dolor|dolor
certaine|certaine
##|##
ne·l|ne·l
puet|puet
pas|pas
garder|garder
logemant|logemant
##|##
que|que
ne·l|ne·l
perde|perde
s’il|s’il
ne·l|ne·l
despant|despant
##|##
avoirs|avoirs
est|est
perduz|perduz
maintes|maintes
parz|parz
##|##
avairs|avairs
hon|hon
n’ert|n’ert
ja|ja
senz|senz
reguart|reguart
##|##
qui·l|qui·l
pert|pert
en|en
terre|terre
et|et
pert|pert
en|en
mer|mer
##|##
por|por
robëors|robëors
et|et
por|por
enbler|enbler
